transportation_mode,commute_distance_km,flights_per_year,diet_type,meat_consumption_kg_per_month,electricity_usage_kwh,gas_usage_therms,water_usage_gallons,recycling_percentage,new_clothes_per_month,car_type,monthly_carbon_footprint_kg,household_size,vehicle_fuel_efficiency_km_per_l,renewable_energy_percentage,heating_fuel_type
walk/bicycle,38.13400252238058,2,omnivore,7.313904112734071,537.5184450571403,192.64258314023908,715.8794021881014,55.484823576253206,7.0676799036109985,electric,2060.6024583604385,4,19.7,47,Gas
public,1752.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",28.0,,2035.0,2,11.0,54,Electric
private,17.331210135768483,4,vegan,5.1086772449460005,580.5329655514394,19.977724396347305,2710.685279389839,75.25229412053793,3.7080244220122505,diesel,1753.3109832705577,3,12.3,95,Gas
private,3709.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",41.0,petrol,2227.0,3,11.0,71,
walk/bicycle,68.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",6.0,,705.0,1,11.7,66,Electric
public,1336.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Glass', 'Metal']",26.0,,1531.0,2,11.3,62,Electric
public,1424.0,0,pescatarian,0.0,0.0,0.0,0.0,['Plastic'],2.0,,1302.0,2,10.9,61,Electric
public,1251.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",50.0,,1164.0,2,11.8,66,Electric
private,2959.0,0,omnivore,0.0,0.0,0.0,0.0,['Glass'],30.0,diesel,2769.0,3,12.6,70,
walk/bicycle,40.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Metal']",3.0,,2148.0,2,12.9,38,Electric
walk/bicycle,50.0,0,omnivore,0.0,0.0,0.0,0.0,['Metal'],0.0,,1974.0,2,13.2,57,Electric
public,430.0,0,omnivore,0.0,0.0,0.0,0.0,['Plastic'],15.0,,1966.0,2,11.6,52,Electric
public,12.810069881440949,1,vegetarian,7.377155652738255,635.0620518187657,197.0128126829423,3891.4365051393897,54.58793271950325,6.822563620324259,none,3076.625008072615,4,11.9,41,Gas
walk/bicycle,47.0,0,omnivore,0.0,0.0,0.0,0.0,['Paper'],36.0,,1624.0,2,11.6,65,Electric
walk/bicycle,13.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",18.0,,1825.0,2,11.7,72,Electric
public,1197.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",42.0,,1904.0,3,11.5,41,Electric
public,1927.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",45.0,,1874.0,3,12.0,43,Electric
walk/bicycle,11.299289625585207,1,vegetarian,17.190863761156944,966.2865988929807,154.79024124617172,3451.8220493396843,87.26824059567257,0.980203592774187,diesel,2946.0724047979224,3,13.6,61,Gas
public,8.544464784250982,2,omnivore,5.518112013241742,607.0887335553698,145.06689639576135,3448.843824665547,29.2025195731776,7.094730248829846,petrol,2789.8647552822586,4,11.1,23,Gas
private,2956.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",37.0,diesel,3446.0,3,12.7,63,
public,1062.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",12.0,,749.0,2,12.4,64,Electric
walk/bicycle,8.0,0,vegan,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",22.0,,3581.0,3,11.9,64,Electric
walk/bicycle,20.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",7.0,,2346.0,2,10.5,62,Electric
walk/bicycle,21.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",34.0,,1363.0,2,12.5,67,Electric
walk/bicycle,68.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",13.0,,1334.0,2,11.5,62,Electric
walk/bicycle,93.0,0,omnivore,0.0,0.0,0.0,0.0,"['Plastic', 'Metal']",5.0,,560.0,1,12.0,59,Electric
walk/bicycle,58.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic']",27.0,,2526.0,2,13.2,58,Electric
walk/bicycle,80.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass', 'Metal']",32.0,,1810.0,2,10.7,75,Electric
private,7614.0,0,pescatarian,0.0,0.0,0.0,0.0,[],40.0,hybrid,2949.0,4,14.8,50,
private,13.667805181646198,3,vegetarian,5.467042358099954,912.8207943102221,62.561456101408574,868.5079452496598,35.54942084544146,4.371705646736519,diesel,1623.93133883983,3,13.2,54,Gas
private,5964.0,0,vegetarian,0.0,0.0,0.0,0.0,[],37.0,lpg,3176.0,3,9.9,48,
walk/bicycle,91.0,0,vegetarian,0.0,0.0,0.0,0.0,[],23.0,,1888.0,2,11.3,60,Electric
public,1580.0,0,vegan,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",24.0,,1348.0,2,11.8,62,Electric
private,3616.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Glass', 'Metal']",24.0,hybrid,2860.0,3,17.6,41,
public,49.622064727017516,8,omnivore,9.457129288670515,954.5621336204615,119.66552041291318,1553.4882947551844,55.8965147995221,5.343698006726248,none,2570.456586162224,4,8.5,50,Electric
private,4685.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Glass']",27.0,hybrid,1535.0,2,15.4,52,
walk/bicycle,63.0,0,omnivore,0.0,0.0,0.0,0.0,"['Paper', 'Metal']",14.0,,1910.0,2,12.7,52,Electric
public,1394.0,0,pescatarian,0.0,0.0,0.0,0.0,"['Paper', 'Metal']",48.0,,3637.0,3,11.7,57,Electric
public,41.60693803457452,0,vegan,4.356892688013789,812.7722504092624,155.8668254925368,3553.5559041386623,14.53984012419819,0.5776732492363923,hybrid,2864.6444405524167,4,14.6,18,Gas
public,383.0,0,pescatarian,0.0,0.0,0.0,0.0,['Glass'],5.0,,1160.0,1,11.3,59,Electric
walk/bicycle,14.0,0,omnivore,0.0,0.0,0.0,0.0,[],40.0,,2647.0,3,12.9,60,Electric
walk/bicycle,9.0,0,vegan,0.0,0.0,0.0,0.0,['Glass'],40.0,,1917.0,2,12.4,66,Electric
public,45.56740974094822,2,omnivore,19.048312695650985,141.51807384306989,96.6751054913557,3130.935601488613,70.08449192677168,7.72668590409804,none,2398.35574656816,4,9.0,70,Electric
walk/bicycle,73.0,0,vegetarian,0.0,0.0,0.0,0.0,"['Paper', 'Plastic', 'Glass']",14.0,,2922.0,2,12.1,67,Electric
